Sample,nm,zhang,ssdr,ours
raccoonVGG_Walk10_cam2,1.0,0.4285714285714285,0.4090909090909091,0.8333333333333334
deerK5L_Jump_cam1,1.0,0.0303030303030303,0.5,0.84
deer2MB_eat2_cam2,1.0,0.3,1.0,0.5357142857142857
tigerD8H_Swim6_cam1,1.0,0.2121212121212121,0.1666666666666666,0.9615384615384616
bucksYJL_Sleep1_cam1,1.0,0.45,0.217391304347826,0.1875
deerSPL_Sleep2_cam1,1.0,0.3157894736842105,0.6111111111111112,1.2307692307692308
rabbitFKP_Sleep1_cam1,1.0,0.5454545454545454,1.0,0.6190476190476191
rabbit7L6_WalkbackRM_cam1,1.0,0.2962962962962963,1.0,0.5333333333333333
bear84Q_Hide_cam1,1.0,0.2307692307692307,0.5,0.9230769230769232
rabbit7L6_Hide_cam1,1.0,0.5,1.0,1.1428571428571428
bullMJ6_SwimBR_cam2,1.0,0.3103448275862069,0.0476190476190476,0.6666666666666666
pumaRW_Run4_cam2,1.0,0.2,0.2631578947368421,1.0625
procySTEM_Attacks3_cam1,1.0,0.0416666666666666,0.0476190476190476,0.8695652173913043
bear3EP_RunforwardRM_cam1,1.0,0.3461538461538461,0.0434782608695652,0.9
hogRD_Swim0_cam2,1.0,0.2857142857142857,1.0,0.8181818181818182
deer2MB_RunstopRM_cam2,1.0,0.2142857142857142,0.217391304347826,0.64
moose45D_JumpFlyIP_cam1,1.0,0.35,1.0,0.7333333333333333
raccoonVGG_SleepLieSeat1_cam1,1.0,0.3333333333333333,0.5714285714285714,0.8333333333333334
bear9AK_CrouchRightRM_cam2,1.0,0.3333333333333333,0.631578947368421,1.0
elkML_Death0_cam1,1.0,0.1212121212121212,0.0277777777777777,0.967741935483871
bear84Q_WalkhuntedRM_cam2,1.0,0.3636363636363636,0.3076923076923077,1.1111111111111112
pumaRW_Sleep1_cam1,1.0,1.0,0.3333333333333333,1.1111111111111112
pumaRW_Swim15_cam1,1.0,0.2,0.1785714285714285,0.9285714285714286
rabbitJM6_Damaged4_cam2,1.0,0.3846153846153846,0.3529411764705882,0.68
canieLTT_Death1_cam1,1.0,0.3333333333333333,0.3043478260869565,0.2608695652173913
foxYSY_SwimBackrightRM_cam2,1.0,0.24,0.2258064516129032,1.0
bunnyQ_WalkBackRRM_cam1,1.0,0.1612903225806451,0.0454545454545454,0.7241379310344828
elkML_Sleep1_cam1,1.0,0.5,0.4166666666666667,1.2307692307692308
rabbitJM6_Fall2_cam1,1.0,0.4736842105263157,0.05,0.4444444444444444
bear3EP_WalkbackRM_cam2,1.0,0.1612903225806451,1.0,0.8461538461538461
procySTEM_Swim12_cam2,1.0,0.05,0.05,1.1875
moose1DOG_WalkleftRM_cam1,1.0,0.25,1.0,1.0
rabbitFKP_Death0_cam1,1.0,0.5,0.4117647058823529,1.0833333333333333
procySTEM_Jump1_cam1,1.0,1.0,1.0,1.0
bear9AK_RunleftRM_cam1,1.0,0.3333333333333333,0.4,0.9
markerman_StandingDodgeRight_cam1,1.0,0.3461538461538461,0.4827586206896552,0.96
deerFEL_WalkbackRM_cam2,1.0,0.1,1.0,0.7894736842105263
foxYSY_JumplandingRM_cam2,1.0,0.2272727272727272,0.2413793103448276,0.4761904761904761
rabbit7L6_Sleep_cam2,1.0,0.032258064516129,0.2666666666666666,0.9230769230769232
bear84Q_Agression_cam2,1.0,0.0476190476190476,0.0555555555555555,0.9523809523809524
foxYSY_hitfront_cam1,1.0,0.0454545454545454,1.0,0.9473684210526316
doggieMN5_JumplandingRM_cam2,1.0,0.2727272727272727,0.4666666666666667,0.8387096774193549
rabbit7L6_Attack1_cam2,1.0,0.3870967741935484,0.6666666666666666,0.5625
pumaRW_Swim8_cam1,1.0,0.0344827586206896,0.2068965517241379,0.4444444444444444
elephantLN0_act1_cam2,1.0,0.1111111111111111,1.0,0.7419354838709677
bear3EP_Hitmiddle_cam1,1.0,0.2692307692307692,0.0384615384615384,0.8095238095238095
mousey_FemalePeekAndAim_cam2,1.0,0.4375,1.0,0.6875
hogRD_Attack3_cam1,1.0,0.5,0.2,0.8333333333333334
foxYSY_Crouchright_cam2,1.0,0.5,0.1904761904761904,0.8
raccoonVGG_Swim10_cam1,1.0,0.5,1.0,0.85
doggieMN5_Jump_cam1,1.0,0.0416666666666666,0.3333333333333333,0.9130434782608696
bear3EP_attack1_cam2,1.0,0.3043478260869565,1.0,1.2727272727272727
deerLO1_AttackRunRM_cam2,1.0,0.9166666666666666,0.0666666666666666,1.0
procySTEM_WalkTwoFeet4_cam1,1.0,0.5,0.3076923076923077,1.0
prisoner_BboyUprockStart_cam1,1.0,0.5714285714285714,1.0,0.7333333333333333
doggieMN5_Hide_cam1,1.0,0.2333333333333333,1.0,0.5666666666666667
deerA4K_hide_cam1,1.0,0.2258064516129032,0.1875,1.03125
