Sample,nm,zhang,ssdr,ours
raccoonVGG_Walk10_cam2,0.1884170229884168,0.4951114426219156,0.4934297205556789,0.2541637717294902
deerK5L_Jump_cam1,0.1956396826139839,0.0689827031222892,0.7415375851630348,0.0829619131580196
deer2MB_eat2_cam2,0.439006947207031,0.4417615138317358,0.3690643635787864,0.308776062492027
tigerD8H_Swim6_cam1,0.1988029769908672,0.2180394250101367,0.3069338669142692,0.0717703794202255
bucksYJL_Sleep1_cam1,0.1670697880068893,0.5218621345755169,0.1816477087031712,0.0394458253615145
deerSPL_Sleep2_cam1,0.2324610751501719,0.2754999224073042,0.0428547011978796,0.0689185109761422
rabbitFKP_Sleep1_cam1,0.1755756129000794,0.5393414532788515,0.1583319123044244,0.1589145488011638
rabbit7L6_WalkbackRM_cam1,0.1516662741165944,0.6099927551345575,0.1915723917037778,0.2702603140420585
bear84Q_Hide_cam1,0.3057523856999405,0.6283476525057061,0.6547745026340492,0.2794674665581991
rabbit7L6_Hide_cam1,0.2920564036525281,0.3610078260021857,0.2485931748667783,0.2670787976844367
bullMJ6_SwimBR_cam2,0.190589536925951,0.4199127091249547,0.1350322567871262,0.1085862206091877
pumaRW_Run4_cam2,0.1258174948537146,0.4876838940103584,0.2608113329555846,0.1845245892394645
procySTEM_Attacks3_cam1,0.2579590881692367,0.1819503474036992,0.1819503424310058,0.1460273096329058
bear3EP_RunforwardRM_cam1,0.2600530663120307,0.260733751016321,0.1658500830699068,0.092771937839634
hogRD_Swim0_cam2,0.1583152460663523,0.3923706555001005,0.2878663512430413,0.232795596141154
deer2MB_RunstopRM_cam2,0.1968614848120418,0.1831455335830845,0.3121230189709927,0.0640291126449761
moose45D_JumpFlyIP_cam1,0.0958591730470275,0.3149849137169064,0.1893325601096094,0.1585000495235324
raccoonVGG_SleepLieSeat1_cam1,0.137015320481475,0.3443378358475559,0.3765206421311668,0.0657218259032331
bear9AK_CrouchRightRM_cam2,0.4408439198710968,0.7929176437537719,0.4175541092053355,0.306824280423896
elkML_Death0_cam1,0.3099364215891849,0.5819570793528411,0.16840942003339,0.1402144470842237
bear84Q_WalkhuntedRM_cam2,0.2658813602624353,0.6711764539787346,0.5881988791554931,0.2578114259558343
pumaRW_Sleep1_cam1,0.3660338461369403,0.6845720413040979,0.285992572114528,0.2094226602734567
pumaRW_Swim15_cam1,0.2375759695395657,0.2137285990527056,0.3350813720361084,0.1648028170647771
rabbitJM6_Damaged4_cam2,0.1922519627502017,0.3088706881665252,0.3024078443284672,0.1597339625607503
canieLTT_Death1_cam1,0.0075595047529537,0.0069458859267816,0.0097968209301068,0.0016651062127367
foxYSY_SwimBackrightRM_cam2,0.2103231163648342,0.5377459459595769,0.2113122801452298,0.0839070475880496
bunnyQ_WalkBackRRM_cam1,0.2139826674914443,0.109334345168171,0.109334345168171,0.0841588914657088
elkML_Sleep1_cam1,0.1486910406987585,0.1075840902596638,0.2986580542219906,0.0925461753017576
rabbitJM6_Fall2_cam1,0.0898024958753453,0.3955936053024915,0.0249529109991387,0.0710629677227804
bear3EP_WalkbackRM_cam2,0.2548573433826638,0.1554998868636082,0.2059246652304737,0.0974540481192114
procySTEM_Swim12_cam2,0.295897738915013,0.147605406158031,0.147605406158031,0.2119332018728817
moose1DOG_WalkleftRM_cam1,0.2551497765716923,0.35826424727552,0.3249105884785844,0.3529805408561573
rabbitFKP_Death0_cam1,0.1976401708199699,0.3622086307936404,0.2766907528389798,0.1658170445450783
